brewery_wa,brewery_prod,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
192 brewing company,192 BREWING COMPANY,,0.5,,,,,,0.33,,,,,0.8300000000000001
20 corners brewing company,20 CORNERS BREWING,,104.64,147.98,72.33,,,,209.93,132.3,,75.86,106.5,849.54
23rd ave brewery,23RD AVE BREWERY,,,,,2.0,4.78,5.0,,1.0,14.0,,,26.78
4 stitch brewing company,4 STITCH BREWING CO.,,2.0,1.25,,4.72,,1.46,3.4,,,,,12.829999999999998
45 degree brewhouse,45 DEGREE BREWHOUSE,,,,,,,,,7.09,,,31.13,38.22
5 north brewing company,5 NORTH BREWING COMPANY,26.14,28.48,25.83,28.27,24.65,22.47,25.81,23.14,18.49,13.17,16.04,14.83,267.32
5 rights brewing company,5 RIGHTS BREWING LLC,26.52,,52.03,34.08,34.77,,81.0,38.5,,32.83,34.33,67.9,401.96
54°40' brewing company,54-40 BREWING COMPANY,,329.07,132.42,,242.45,171.2,160.46,,,355.19,-0.5,-1.82,1388.47
5th line brewing company,5TH LINE BREWING CO.,4.7,4.78,7.79,6.78,5.78,14.38,10.18,5.96,7.05,9.21,7.12,7.13,90.86
7 seas brewing company,7 SEAS BREWING,315.96,336.01,305.77000000000004,481.85,442.82,544.22,609.43,563.28,416.25,417.86,276.61,432.0,5142.0599999999995
acorn brewing,ACORN BREWING,17.56,,35.22,19.85,19.85,21.58,,38.14,19.55,19.68,19.72,21.58,232.73
airways brewing company,AIRWAYS BREWING COMPANY,34.16,47.15,54.68,59.13,52.93,55.17,63.67,65.24,74.75,63.45,60.89,48.28,679.5000000000001
ale spike camano island brewing,ALE SPIKE,1.94,4.1,6.45,5.25,6.25,6.56,6.57,6.75,5.25,5.82,5.96,3.41,64.31
anacortes brewery,ANACORTES BREWERY,11.1,4.6,34.4,62.8,39.65,55.5,66.1,67.5,70.55,44.56,31.0,19.9,507.66
ancient lakes brewing company,TWENTY-EIGHT TEN LLC,4.43,1.95,0.76,1.73,4.26,2.14,,1.62,0.9,,,7.93,25.72
another round brewing company,ANOTHER ROUND BREWING CO,,,11.63,12.57,13.29,13.0,11.72,14.81,15.18,10.93,12.59,9.94,125.66000000000004
ashtown brewing company,ASHTOWN BREWING COMPANY,8.3,8.64,11.75,8.32,7.43,,16.94,8.3,,16.11,7.31,8.36,101.46000000000002
aslan brewing company,ASLAN BREWING COMPANY,362.67,329.33,483.91,472.59,394.46,557.23,502.5,624.47,356.63,366.27,404.17,360.64,5214.87
at large brewing,AT LARGE BREWING AND TAPROOM,13.84,14.67,15.5,28.0,12.83,21.33,21.16,25.33,10.0,11.34,12.17,13.02,199.19
atomic ale brewpub and eatery,ATOMIC ALE BREWPUB & EATERY,11.5,22.4,16.0,14.2,,30.3,12.0,,22.6,,36.55,3.3,168.85
atwood farm brewery,ATWOOD ALES,,7.71,5.42,,11.71,11.79,6.48,9.23,6.61,,7.7,10.67,77.32
audacity brewing,AUDACITY BREWING,8.33,5.83,2.59,8.8,10.03,4.32,8.45,12.23,8.5,7.13,4.5,6.48,87.19
backwoods brewing company,BACKWOODS BREWING COMPANY,148.47,162.26,246.93,210.97,201.53,275.74,229.94,280.54999999999995,281.01,255.23,140.69,229.86,2663.1800000000003
bad jimmy's brewing company,BAD JIMMYS BREWERY,,15.1,20.0,64.46,22.4,26.99,25.99,22.83,16.5,8.66,5.0,9.0,236.93
badass backyard brewing,BADASS BACKYARD BREWING,,3.0,,3.0,,2.0,4.5,4.5,1.0,,,9.0,27.0
badger mountain brewing company,BADGER MOUNTAIN BREWING,11.0,,43.1,22.59,29.4,28.74,28.64,21.66,26.81,11.61,14.06,21.25,258.86
bainbridge brewing company,BAINBRIDGE ISLAND BREWING,62.22,58.44,79.15,92.48,83.84,83.22,113.68,104.54,91.84,100.46,68.35,71.56,1009.78
bale breaker brewing company,BALE BREAKER BREWING COMPANY,1535.06,1276.72,1822.97,1900.88,1802.26,2140.11,2302.83,2282.84,1709.75,1536.51,2088.51,1416.19,21814.629999999994
bardic brewing and cider,BARDIC BREWING,3.32,1.88,,3.91,,3.49,1.79,,4.93,,,8.12,27.44
barhop brewing,BARHOP BREWING,,42.0,83.0,51.0,,117.0,57.0,,70.0,82.83,52.03,35.88,590.74
barley pop! brewing,BARLEY POP! BREWING,,,,,,3.5,3.0,,2.43,0.85,1.85,1.5,13.13
barlow's brewery,BARLOWS BREWERY,5.48,,,0.67,,,,,,,,,6.15
barrel mountain brewing,BARREL MOUNTAIN BREWING,106.29,111.75,167.61,153.19,191.01,183.67,143.91,209.85,156.76,150.98,152.74,121.47,1849.23
bastion brewing company,BASTION BREWING COMPANY,,,,,,,113.55,85.4,,51.4,,57.3,307.65
beach cat brewing,BEACH CAT BREWING,,21.0,16.0,18.0,46.5,,52.5,,71.0,18.0,23.0,13.5,279.5
beardslee public house,BEARDSLEE PUBLIC HOUSE,32.5,37.0,52.0,27.5,55.5,39.5,50.0,57.5,44.5,30.0,29.5,53.0,508.5
bellevue brewing company,BELLEVUE BREWING COMPANYBELLEVUE BREWING COMPANY SPRING DISTRICT BREW,40.89,57.15,69.68,73.89,65.29,60.8,114.79,69.48,123.56,88.03999999999999,94.34,120.66,978.57
bellwether brewing company,BELLWETHER BREWING COMPANY,7.0,23.66,12.33,13.16,19.67,22.66,14.67,11.83,21.84,19.16,20.0,16.16,202.14
bennidito's brewpub,BENNIDITOS BREW PUB,37.01,19.89,36.38,35.0,44.0,37.16,14.66,,72.86,45.76,,31.38,374.1
bent bine brewing company,BENT BINE BREW CO,,39.3,,9.5,,11.92,,51.6,,,24.8,,137.12
berchmans brewing company,BERCHMANS BREWING COMPANY,,,1.0,,,,,,,1.0,1.0,,3.0
best of hands barrelhouse,BEST OF HANDS BARRELHOUSE,15.25,10.25,17.57,18.89,13.31,18.28,29.88,10.26,23.33,16.92,15.16,,189.09999999999997
bickersons brewhouse,BICKERSONS BREWHOUSE LLCBICKERSONS BREWHOUSE,11.61,24.05,16.28,18.25,29.08,28.01,34.79,62.85,42.11,61.94,21.28,19.77,370.02
big block brewing,BIG BLOCK BREWING,36.06,55.26,53.65,25.39,48.1,58.61,37.26,43.58,54.39,43.19,46.52,8.71,510.72
big house brewpub,BIG HOUSE BREW PUB,39.0,21.0,21.0,,49.0,28.0,,,67.0,,,42.0,267.0
big time brewery,BIG TIME BREWING COMPANY,,83.5,54.75,,57.25,,120.95,97.5,62.0,,94.25,,570.2
birdsview brewing company,BIRDSVIEW BREWING CO,20.2,32.7,24.8,26.6,13.3,26.4,37.6,19.1,33.3,12.0,19.5,19.7,285.20000000000005
bizarre brewing,BIZARRE BREWING,,,,,,,,,,27.51,21.97,30.88,80.36
black fleet brewing,BLACK FLEET BREWING,9.42,12.94,11.94,13.51,16.44,15.74,17.08,22.1,14.67,11.98,9.56,11.05,166.42999999999998
black label brewing company,BLACK LABEL BREWING COMPANY,,,8.0,12.5,,,32.0,,,40.5,,,93.0
black raven brewing company,BLACK RAVEN BREWING COMPANY,-10.54,1194.46,21.73,1590.16,878.0899999999999,-5.95,1774.7800000000002,904.37,-6.81,1888.28,-7.05,684.23,8905.75
blackbeard's brewing company,BLACKBEARDS BREWING COMPANY,8.0,24.0,,32.0,24.0,24.0,16.0,50.0,17.5,8.0,,,203.5
blewett brewing company,BLEWETT BREWING COMPANY,15.1,16.6,18.4,21.85,22.45,34.1,39.05,43.25,45.3,31.6,22.5,28.0,338.2
bombing range brewing company,BOMBING RANGE BREWING COMPANY,40.66,45.1,46.87,48.02,44.79,50.47,47.31,41.12,47.71,45.88,39.98,40.44,538.35
bottle bay brewing company,BOTTLE BAY BREWING CO.,,4.0,,,,46.0,,,,80.0,,,130.0
boundary bay brewery,BOUNDARY BAY BREWERY AND BISTRO,304.31,416.68,495.1,559.19,458.02,613.18,577.56,461.11,538.55,477.46,372.26,340.11,5613.530000000001
breakthru brewing company,BREAKTHRU BREWING COMPANY,15.0,11.5,,4.0,8.0,4.5,4.5,12.0,,11.0,8.0,10.0,88.5
brewbakers brewing company,BREW BAKERS,1.5,2.5,1.5,1.5,2.0,1.5,3.0,2.0,2.0,3.0,1.0,,21.5
brick west brewing company,BRICK WEST BREWING,153.33,110.65,201.44,154.67,182.94,223.45,184.62,154.63,193.33,198.86,113.69,163.09,2034.7000000000005
bron yr aur brewing company,BRON YR AUR FRUIT & PRODUCE,20.17,20.17,27.5,21.75,25.92,26.7,28.44,32.02,24.14,24.04,10.32,18.54,279.71000000000004
brother ass brewing,BROTHER ASS BREWING,4.29,14.37,,3.02,7.03,8.65,6.33,7.39,5.91,4.28,7.33,4.53,73.13
brothers cascadia brewing,BROTHERS CASCADIA BREWING,98.21,127.43,115.64,,195.27,124.47,105.48,72.43,98.12,84.7,92.9,72.81,1187.46
bugu brewing company,BUGU BREWING COMPANY,1.65,3.44,2.46,4.94,3.94,4.27,,11.49,4.29,4.05,4.06,5.7,50.29
burke-gilman brewing company,BURKE-GILMAN BREWING COMPANY,34.2,33.1,,277.84,28.7,,83.3,,51.5,57.4,,17.9,583.9399999999999
burwood brewing company,BURWOOD BREWING COMPANY,30.95,38.49,46.22,44.54,51.73,72.16,46.96,49.02,56.25,36.3,39.67,34.09,546.3800000000001
byron street brewery,BYRON ST BREWERY,,,,,,,,,2.5,5.5,4.0,2.5,14.5
cairn brewing,CAIRN BREWING,26.0,10.5,43.5,28.5,43.5,31.0,33.0,38.0,36.0,34.0,31.5,12.5,368.0
camas brewing company,CAMAS BREWING CO,,,18.0,,-1.25,,,23.5,8.75,9.58,,,58.58
camp colvos brewing,CAMP COLVOS BREWING,,55.8,32.6,37.9,41.9,,93.8,48.8,43.7,,66.4,29.9,450.7999999999999
captain's brewing company,CAPTAINS BREWING COMPANY,0.17,0.5,0.42,0.42,0.42,0.42,,,0.32,,,,2.67
cardinal craft brewing,CARDINAL CRAFT BREWING,,13.0,,,,5.0,,,1.0,1.0,6.0,,26.0
chainline brewing company,CHAINLINE BREWERY,66.74,123.38,126.59,139.59,-0.29,262.77,136.94,179.1,161.48,88.73,95.47,84.98,1465.48
chaos bay brewing company,CHAOS BAY BREWING CO.,,,,,,,,,,7.0,5.0,4.0,16.0
chief spring's fire and irons brewpub,CHIEF SPRINGS FIRE & IRONS BREW PUB,,21.87,13.36,9.71,9.97,18.56,11.41,10.83,10.72,,17.52,10.7,134.65
chuckanut brewery,CHUCKANUT BREWERY,263.4,283.3,465.2,291.1,351.45,389.8,349.3,457.6,322.6,-1.5,591.3,252.11,4015.66
cloudburst brewing,CLOUDBURST BREWING,139.42000000000002,159.64,181.46,175.84,167.88,181.92,166.44,196.28000000000003,168.52,164.29,147.81,150.56,2000.06
cole street brewery,COLE STREET BREWERY,2.0,,2.0,2.6,,,9.0,,,,,,15.6
common language brewing company,COMMON LANGUAGE BREWING COMPANY,,,47.0,15.0,22.5,3.0,50.0,22.0,10.0,42.0,13.0,4.5,229.0
counterbalance brewing company,COUNTERBALANCE BREWING COMPANY,27.28,40.84,39.74,39.02,36.39,42.68,28.46,37.41,25.27,13.58,,,330.66999999999996
cowiche creek brewing company,COWICHE CREEK BREWING COMPANY,59.66,37.5,48.5,96.99,43.49,46.0,36.0,117.11,69.66,31.67,16.0,5.17,607.7499999999999
crane's castle brewing company,CRANES CASTLE BREWING,7.2,7.78,10.53,8.33,9.7,9.47,9.95,9.38,7.7,9.5,7.53,8.04,105.11
crooked label brewing company,CROOKED LABEL BREWING COMPANY,6.0,6.0,6.0,6.0,6.0,9.0,9.0,12.0,12.0,12.0,12.0,9.0,105.0
crossbuck brewing,WALLA WALLA STEAK CO/CROSS BUCK BREWING,16.69,10.34,18.87,22.11,21.68,,42.34,103.23,26.51,20.7,12.47,21.77,316.71
crossed arrows brewery,CROSSED ARROWS BREWERY,,,,,,,,,,,,1.0,1.0
crucible brewing company,CRUCIBLE BREWING COCRUCIBLE BREWING CO.,49.92,110.51,133.32999999999998,131.26,167.38,,212.22,92.25,90.06,,67.28,263.27,1317.48
cursed brewing,CURSED BREWING,,,,,,,,,,4.78,4.78,-3.06,6.5
darach brewing company,DARACH BREWING COMPANY,,,,,,,,,,,,5.5,5.5
decibel brewing company,DECIBEL BREWING CO,,6.02,,,,,,,,,,4.52,10.54
deep draft brewing,DEEP DRAFT BREWING,12.13,14.26,18.58,15.57,19.88,23.17,25.46,21.93,20.99,16.5,17.06,10.34,215.87
diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,207.84,214.13,375.71,296.93,367.95,308.92,274.73,370.69,279.6,282.43,311.28000000000003,183.75,3473.9599999999996
dick's brewing company,DICKS BREWING COMPANY,208.76,89.05,,135.35,,101.57,,,197.75,,91.68,32.27,856.4300000000001
dirty couch brewing,DIRTY COUCH BREWING,,,,33.12,,17.28,,,,,61.86,,112.26
discovery bay brewing,DISCOVERY BAY BREWING,7.1,6.56,9.29,10.45,11.77,11.19,14.37,13.36,11.2,9.48,4.74,6.3,115.81
district brewing,DISTRICT BREWING,25.36,30.38,118.03,71.86,72.95,139.61,103.2,96.51,66.87,82.53,113.79,63.05,984.14
doghaus brewery,DOGHAUS BREWERY,3.75,10.25,5.75,9.0,11.5,17.25,13.25,17.25,16.25,14.0,4.25,7.0,129.5
doomsday brewing company,DOOMSDAY BREWING COMPANY,31.0,30.5,39.0,33.5,31.0,37.5,36.5,41.5,34.0,32.0,32.0,27.0,405.5
double bluff brewing company,DOUBLE BLUFF BREWING,8.23,9.35,14.84,14.03,14.03,12.58,16.94,14.35,12.42,11.29,12.1,6.77,146.92999999999998
downpour brewing,DOWNPOUR BREWING,,21.0,12.0,12.0,12.0,15.0,,12.0,24.0,,24.0,,132.0
dreadnought brewing,DREADNOUGHT BREWING,4.5,4.0,5.5,,9.5,,8.5,,8.5,,9.0,,49.5
dru bru,DRU BRU,206.37,302.96,337.66,302.57000000000005,327.28999999999996,442.43,433.26,466.01,519.14,314.67,360.73,365.75,4378.84
dubtown brewing company,DUBTOWN BREWING COMPANY,5.0,19.0,4.5,14.5,19.0,9.5,4.5,19.0,5.0,14.5,19.0,9.5,143.0
dunagan irish pub and brewery,DUNAGAN BREWING CO.,,,5.5,4.5,,,3.0,,,6.0,,,19.0
dungeness brewing company,DUNGENESS BREWING COMPANY,,,,,,,,,0.8,0.8,,,1.6
dwinell country ales,DWINELL COUNTRY ALE,1.52,10.8,6.26,8.1,7.28,6.24,6.8,17.94,8.3,7.81,4.52,0.41,85.97999999999999
dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,50.5,,7.8,,40.4,,,45.1,,,,25.8,169.6
e2w brewing,E2W BREWING,1.75,2.42,3.09,2.0,,4.85,,,,,,,14.11
e9 brewing company,E9 BREWING CO,142.89,187.39,221.89,225.03,208.38,230.98,218.46,232.84,1160.95,180.98,192.9,232.3,3434.99
echoes brewing company,ECHOES BREWING COMPANY LLC,17.85,16.83,35.91,28.83,31.35,34.09,38.18,47.59,39.53,43.83,40.55,31.84,406.38
elk head brewing company,ELK HEAD BREWING,21.29,26.69,30.25,30.83,26.7,28.77,32.03,28.1,29.58,24.41,25.19,29.31,333.15000000000003
elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,95.7,105.9,133.0,157.62,87.10000000000001,176.54,95.1,122.92,103.38,74.3,95.73,116.56,1363.85
elysian brewing,ELYSIAN BREWING COMPANY,874.69,780.65,-101.03,2182.4,1447.5,947.41,1211.8,1545.98,1207.3,1627.5,507.17,732.5,12963.87
everybody's brewing,EVERYBODYS BREWING,184.47,200.68,320.71,278.26,295.38,313.73,284.98,409.67,313.55,206.14,276.42,187.26,3271.2500000000005
explorer brewing company,EXPLORER BREWING COMPANY,8.2,8.75,10.56,8.91,7.98,10.03,11.2,12.71,12.38,6.46,,18.86,116.04
fair isle brewing,FAIR ISLE BREWING,35.06,20.99,50.87,42.56,33.26,104.07,36.94,61.92,0.0,46.95,52.3,25.05,509.97
farmstrong brewing company,FARMSTRONG BREWING COMPANY,85.7,73.98,153.2,104.67,165.96,163.76,154.8,213.71,,,,378.68,1494.46
fast fashion beer,FAST FASHION,75.0,48.0,,70.0,28.0,48.0,30.0,,80.0,,42.0,40.0,461.0
fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,,0.5,0.5,0.25,1.0,,1.0,1.5,0.25,2.58,,1.0,8.58
fermentation initiative,FERMENTATION INITIATIVE,,,,,4.0,5.0,4.0,5.0,,9.0,,7.0,34.0
figurehead brewing company,FIGUREHEAD BREWING COMPANY,19.0,19.51,,52.72,21.85,31.77,25.23,31.75,23.67,33.09,22.37,11.58,292.54
fired up brewing,FIRED UP BREWING,14.51,16.1,12.82,,29.24,23.74,12.82,,31.2,18.53,7.56,12.23,178.74999999999997
five dollar ranch brewing company,FIVE DOLLAR RANCH BREWING COMPANY,10.04,9.58,14.35,9.9,12.6,15.06,17.3,16.16,17.22,14.31,12.34,17.67,166.53
five dons brewing,FIVE DONS BREWING,,,,,,,,29.5,,,,,29.5
floodland brewing,FLOODLAND BREWING COMPANY,,,42.03,,54.9,,31.26,,35.1,39.1,,,202.39
flyers restaurant and brewery,FLYERS RESTAURANT AND BREWERY,,62.25,,,,68.5,,61.5,,,55.5,,247.75
flying bike cooperative brewery,FLYING BIKE COOPERATIVE BREWERY,22.5,66.53,33.14,38.75,25.67,,38.75,66.16,,72.64,23.08,,387.22
flying lion brewing,FLYING LION BREWING,29.26,39.64,25.64,27.27,58.92,49.07,32.64,51.75,54.11,38.03,59.75,33.11,499.19000000000005
foggy noggin brewing,FOGGY NOGGIN BREWING,3.17,4.0,4.83,1.34,3.0,1.83,5.84,2.0,3.0,3.0,1.67,3.0,36.68
for the love of god brewing,FOR THE LOVE OF GOD BREWING,7.0,5.0,10.0,10.0,19.0,10.0,12.0,14.0,14.0,10.0,11.0,6.0,128.0
formula brewing,FORMULA BREWING,49.0,,129.1,91.5,54.52,74.67,110.65,55.81,,127.34,7.0,52.71,752.3
fortside brewing company,FORTSIDE BREWING COMPANY,59.59,66.6,75.23,97.03,72.1,105.45,96.34,116.03,74.39,123.88,63.78,37.66,988.08
