brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,leg_district,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
Lost Woods Brewery,micro,28002 WA-410 suite 2,Buckley,98321,Pierce,47.15975658,-122.0559237,2017,0,0,https://untappd.com/LostWoodsBrewery,31,,,20.0,24.0,,34.0,,15.0,,,,58.0,151.0
Lovecraft Brewing Company,brewpub,275 5th Street Suite 101,Bremerton,98337,Kitsap,47.56640891,-122.6257846,2016,0,0,https://untappd.com/LoveCraftBrewingCompany,26,6.0,10.0,1.0,2.0,,8.0,,22.0,21.0,2.0,9.0,,81.0
Lowercase Brewing,micro,6235 Airport Way S,Seattle,98108,King,47.547723,-122.3146203,2014,1,0,https://untappd.com/Lowercasebeer,34,153.85,,,125.67,,,80.12,52.39,20.5,,67.63,,500.16
Lucky Envelope Brewing,micro,907 NW 50th Street,Seattle,98107,King,47.66495806,-122.3688462,2015,1,0,https://untappd.com/LuckyEnvelopeBrewing,36,67.11,52.6,105.46,74.98,128.61,91.49,94.48,116.78,76.76,72.06,36.79,53.76,970.88
Lumber House Brewery,micro,21830 284th Ave SE,Maple Valley,98038,King,47.32607774,-122.0103551,2015,0,0,https://untappd.com/LumberHouseBrewery,5,15.5,21.25,26.33,20.51,16.66,14.5,19.57,14.32,19.33,14.0,29.28,8.5,219.75
Lumberbeard Brewing,regional,25 E 3rd Ave,Spokane,99202,Spokane,47.653684,-117.41007,2020,1,0,https://untappd.com/LumberbeardBrewing,3,67.97,77.71,104.38,98.07,117.04,126.81,130.16,101.51,87.35,93.16,91.48,66.37,1162.01
Mac and Jack's Brewing Company,micro,17825 NE 65th St,Redmond,98052,King,47.66369585,-122.102815,1993,1,0,https://untappd.com/MacJacksBrewingCompany,48,1951.9,1841.37,1780.41,2036.64,2171.85,2776.15,2052.96,2412.73,2378.33,2225.78,1902.2,1755.14,25285.46
Machine House Brewery,taproom,5718 Rainier Ave S,Seattle,98118,King,47.5507121,-122.277164,2013,1,0,https://untappd.com/MachineHouseBrewery,37,21.4,29.31,49.13,62.74,19.61,23.38,37.33,42.69,19.65,49.69,39.79,21.1,415.8200000000001
Maelstrom Brewing Company,brewpub,11014 120th Ave Ne,Kirkland,98033,King,47.69913819,-122.1809653,2017,0,0,https://untappd.com/MaelstromBrewing,45,3.71,4.41,5.21,4.61,4.6,6.13,6.23,4.76,4.78,3.54,3.22,2.96,54.16
Magnuson Cafe and Brewery,micro,7801 62nd Ave Ne,Seattle,98115,King,47.6881653,-122.2649134,2018,1,0,https://untappd.com/MagnusonCafeBrewery,46,22.0,16.4,26.5,27.85,32.0,39.0,,96.81,34.0,,36.09,7.4,338.04999999999995
Maritime Pacific Brewing Company,brewpub,1111 NW Ballard Way,Seattle,98107,King,47.66284715,-122.371031,1990,1,0,https://untappd.com/MaritimePacificBrewingCompany,36,76.87,86.28,126.65,117.02,122.58,146.16,146.35,152.79,160.75,399.9,183.03,131.69,1850.0699999999997
Masters Brewhouse,micro,831 S Main St,Deer Park,99006,Spokane,47.945254,-117.4751514,2020,0,0,https://untappd.com/w/masters-brewhouse/420247,7,,36.85,20.25,21.0,21.09,17.7,35.82,15.0,18.3,,34.0,22.9,242.91000000000005
Matchless Brewing,brewpub,8036 River Dr SE #208,Tumwater,98501,Thurston,46.9708364,-122.88502,2016,1,0,https://untappd.com/MatchlessBrewing,22,177.36,197.76,248.54,241.68,245.42,271.58,256.93,342.29,352.67,191.73,239.84,260.11,3025.9100000000003
McMenamins Anderson School Brewery,brewpub,18607 Bothell Way NE,Bothell,98011,King,47.76388,-122.2080688,1983,1,0,https://untappd.com/McMenamins,1,141.64,80.46,98.34,278.65,137.19,99.78,83.29,146.47,120.75,104.38,104.73,101.79,1497.4700000000005
McMenamins Elks Temple,brewpub,565 Broadway,Tacoma,98402,Pierce,47.25926,-122.4420142,1983,1,0,https://untappd.com/McMenamins,27,110.25,74.5,72.75,197.75,96.5,126.5,99.0,105.0,96.25,71.0,80.5,73.5,1203.5
McMenamins Kalama Harbor Lodge,brewpub,215 N Hendrickson Dr,Kalama,98625,Cowlitz,46.01724,-122.8511351,1983,1,0,https://untappd.com/McMenamins,20,36.25,22.75,27.0,99.75,41.22,68.5,46.75,60.94,59.5,37.25,31.0,34.75,565.66
Mcmillin Farm brewhouse,micro,12517 WA-162,Puyallup,98374,KIma,47.14536,-122.2355246,2021,0,0,https://untappd.com/w/mcmillin-farm-brew/535926,25,,,,,,,,,,,1.94,0.9,2.84
Meatheads Smokehouse and Beer Works,taproom,8928 Vernon Rd,Lake Stevens,98258,Snohomish,48.00222135,-122.1098734,2021,0,1,https://untappd.com/Meatheads21,39,193.0,,,,130.0,,,,,,229.0,,552.0
Menace Brewing,taproom,2529 Meridian Street,Bellingham,98225,Whatcom,48.76355086,-122.4862211,2013,0,0,https://untappd.com/MenaceBrewing,42,38.24,,31.3,21.03,17.89,,,,72.32,20.96,,36.74,238.48
Métier Brewing Company,brewpub,14125 NE 189th St Suite B,Woodinville,98072,King,47.76422298,-122.1515601,2016,1,0,https://untappd.com/MetierBrewing,1,27.66,56.63,59.08,56.52,51.11,108.12,44.9,139.06,87.6,59.99,40.77,28.37,759.8100000000001
Middleton Brewing,brewpub,607 Southeast Everett Mall Way,Everett,98208,Snohomish,47.91059997,-122.2248042,2013,0,0,https://untappd.com/MiddletonBrewingWA,38,12.0,8.0,14.0,,,22.0,22.0,,,,42.0,,120.0
Milepost 111 Brewing Company,micro,407 Aplets Way,Cashmere,98815,Chelan,47.524234,-120.470178,2013,0,0,https://untappd.com/milepostbeer,12,1.5,,3.16,,,5.83,2.93,,2.33,,,2.0,17.75
Millwood Brewing Company,micro,9013 E Frederick Ave,Millwood,99212,Spokane,47.68543023,-117.2834938,2017,0,1,https://untappd.com/Millwood_Brewing_Company,4,15.04,16.72,19.66,18.91,18.21,15.93,14.38,16.24,10.8,10.19,14.53,19.95,190.56
Mirage Beer Company,taproom,927 S Homer St,Seattle,98108,King,47.550523,-122.3191768,2017,0,0,https://untappd.com/MirageBeerCo,34,1.59,18.17,17.76,21.61,15.19,10.27,6.57,22.42,7.43,17.2,19.81,11.16,169.17999999999998
Monka Brewing Company,taproom,17211 15th Ave Ne,Shoreline,98155,King,47.75412478,-122.3135273,2018,0,0,https://untappd.com/MonkaBrewey,32,,6.0,6.0,9.0,,9.0,3.0,15.0,3.0,9.0,,9.0,69.0
Moonshot Brewing,brewpub,8804 W Victoria Ave Ste 140,Kennewick,99336,Benton,46.228777,-119.240958,2019,1,0,https://untappd.com/Moonshot_Brewing,8,13.91,18.74,22.3,18.55,21.81,22.16,24.06,20.64,21.75,19.86,16.21,15.11,235.1
Mother Fern Brewing,brewpub,610 Pacific Ave,Tacoma,98402,Pierce,47.25791576,-122.440158,2021,0,1,https://untappd.com/MotherFernBrewing,27,61.0,47.75,107.0,148.0,,297.0,91.5,216.0,,,147.5,125.0,1240.75
Mount Olympus Brewing,taproom,105 W Heron St,Aberdeen,98520,Grays Harbor,46.97327712,-123.8171792,2018,0,0,https://untappd.com/MountOlympusBrewing,19,,85.67,,,95.97,,57.01,,86.22,,39.12,67.9,431.89
Mountain Lakes Brewing Company,taproom,105 W Heron St,Spokane,99201,Spokane,47.657891,-117.413453,2018,1,0,https://untappd.com/MountainLakesBrewCo,3,5.84,8.17,9.01,14.6,,24.19,9.17,10.36,4.84,13.69,9.01,,108.88
Mule and Elk Brewing Company,micro,418 E 1st St Suite 5,Cle Elum,98922,Kittitas,47.19383354,-120.9322128,2016,0,0,https://untappd.com/MuleElkBrewingCo,13,9.59,12.42,16.03,,11.79,10.36,8.44,11.97,21.04,5.19,14.57,15.9,137.29999999999998
Narrows Brewing Company,brewpub,9007 S 19th Street,Tacoma,98466,Pierce,47.24346569,-122.5564963,2013,1,0,https://untappd.com/NarrowsBrewing,27,137.17,118.41,211.22,201.78,255.36,211.05,194.71,305.47,163.76,170.56,207.36,110.21,2287.0600000000004
Natural 20 Brewing Company,micro,15310 E Marietta Ave Ste 4,Spokane Valley,99216,Spokane,47.680793,-117.198498,2014,0,0,https://untappd.com/Natural20BrewingCo,4,,,50.0,52.0,,,,86.0,,,,75.0,263.0
New Maitland Brewing Llc,nano,8903 E Greenbluff Rd,Colbert,99005,Spokane,47.825198,-117.285727,2022,0,0,https://untappd.com/b/new-maitland-brewing-scottish-stoat/5426770,4,,,,,,,1.99,2.32,1.44,0.57,0.08,0.16,6.5600000000000005
No Boat Brewing Company,taproom,35214 SE Center Street #2,Snoqualmie,98065,King,47.5285744,-121.8707445,2016,1,0,https://untappd.com/NoBoatBrewingCompany,5,19.5,47.5,32.0,42.0,42.0,69.75,49.0,56.5,62.0,47.0,46.0,45.25,558.5
No Drought Brewing Company,regional,10604 E 16th Ave,Spokane Valley,99206,Spokane,47.64233504,-117.2626058,2022,0,0,https://untappd.com/NoDroughtBrewingCo,4,13.47,6.98,7.39,7.72,,,19.38,,22.82,,,13.27,91.03
No-Li Brewhouse,taproom,1003 E Trent Box 2 Suite 180,Spokane,99202,Spokane,47.662698,-117.39419,2003,1,0,https://untappd.com/NoLiBrewhouse,3,742.06,954.51,1113.38,1408.5700000000002,1056.81,1246.7,1396.96,1295.5,1409.41,1226.51,1029.92,1344.53,14224.86
North 47 Brewing Company,brewpub,1000 Town Ctr NE #160,Tacoma,98422,Pierce,47.30098342,-122.4354485,2015,0,0,https://untappd.com/North47BrewingCo,27,18.0,18.0,26.0,8.5,16.0,18.0,21.0,20.0,24.0,15.0,19.5,9.0,213.0
North Fork Brewery,taproom,6186 Mount Baker Hwy,Deming,98244,Whatcom,48.89023277,-122.1515053,1997,1,0,https://untappd.com/TheNorthForkBrewery,42,27.29,22.84,34.48,29.32,33.06,28.55,45.32,48.45,37.74,28.869999999999997,26.0,27.61,389.53
North Jetty Brewing,taproom,4200 Pacific Way,Seaview,98017,King,46.33317158,-124.0546726,2014,1,0,https://untappd.com/NorthJettyBrewing,19,21.34,48.42,62.93,45.15,61.44,56.48,64.74,82.77,65.1,60.03,21.96,48.65,639.01
North Sound Brewing Company,brewpub,17406 Washington 536,Mount Vernon,98273,Skagit,48.431553,-122.3702,2010,1,0,https://untappd.com/NorthSoundBrewingCompany,10,20.35,25.52,28.86,25.51,28.53,31.55,30.54,32.7,28.34,28.36,24.02,23.69,327.97
Northern Ales,brewpub,325 W 3rd Ave,Kettle Falls,99141,Stevens,48.61016972,-118.059909,2014,0,1,https://untappd.com/NorthernAles,7,,3.27,13.0,14.35,,,15.02,11.5,,,38.3,11.5,106.94
Northwest Brewing Company,micro,610 Pacific Ave,Tacoma,98402,King,47.25788663,-122.4401044,2007,0,0,https://untappd.com/NorthwestBrewingCompany,27,161.9,73.0,189.6,,59.3,,47.0,88.4,,-2.67,73.3,,689.8299999999999
Northwest Peaks Brewery,brewpub,5718 Rainier Ave S,Seattle,98118,King,47.55099284,-122.2774345,2011,0,1,https://untappd.com/nwpeaksbrewery,37,10.0,12.0,12.0,16.0,,20.0,,,,,,,70.0
Northwood Public House and Brewery,micro,1401 SE Rasmussen Blvd #101,Battleground,98604,Clark,45.775079,-122.523019,2014,0,0,https://untappd.com/LittleDipperBrewingCompany,18,,1.83,,7.25,,5.91,,,8.0,3.83,,2.0,28.82
Nun Chuck's Brewing Company,taproom,18609 76th Ave W C,Lynnwood,98037,Snohomish,47.82961976,-122.3372621,2006,0,0,https://untappd.com/w/nun-chucks-brewing-company/475764,32,2.03,3.85,2.5,3.86,4.67,4.27,5.47,7.25,4.22,6.72,,11.54,56.379999999999995
Obec Brewing,micro,1144 NW 52nd Street,Seattle,98107,King,47.6666932,-122.3725339,2017,1,0,https://untappd.com/ObecBrewing,36,24.6,22.65,21.13,41.36,,116.65,50.34,56.23,51.27,36.38,51.04,41.31,512.96
Odd Otter Brewing Company,micro,716 Pacific Ave,Tacoma,98402,Pierce,47.25677,-122.439519,2014,0,0,https://untappd.com/OddOtter,27,,43.59,,,72.42,,,86.0,,,60.75,,262.76
Odin Brewing Company,taproom,402 Baker Blvd,Tukwila,98188,King,47.45871185,-122.2520593,2009,0,1,https://untappd.com/OdinBrewing,11,63.58,32.64,-0.13,150.87,52.0,69.0,46.0,71.0,85.6,41.0,39.0,,650.5600000000001
Off Camber Brewing,taproom,6506 114th Ave Ct E,Puyallup,98372,Pierce,47.19825258,-122.2773277,2017,0,0,https://untappd.com/JamesTheBrewer,25,,,26.44,,,33.79,,,,,,59.08,119.31
Ogres Brewing,brewpub,7693 Cultus Bay Rd,Clinton,98236,Island,47.93163176,-122.389573,2019,1,0,https://untappd.com/w/ogres-brewing/261870,10,2.7,3.93,4.5,3.5,3.5,4.67,5.5,5.5,5.0,4.0,3.0,3.5,49.3
Old Schoolhouse Brewery,brewpub,155 Riverside Dr Box 112,Winthrop,98862,Okanogan,48.4782175,-120.18652,1993,1,0,https://untappd.com/OldSchoolhouseBrewery,7,,271.17,185.9,181.3,,150.39999999999998,155.10000000000002,407.36,,187.4,,235.6,1774.23
Old Stove Brewing Company,taproom,1901 Western Avenue Suite A,Seattle,98101,King,47.61002,-122.343413,2016,1,0,https://untappd.com/w/old-stove-brewing-co/246787,43,173.49,120.47,109.55,231.49,241.14,310.66999999999996,204.31,256.68,159.51,148.66,125.22,111.82,2193.01
Optimism Brewing Company,brewpub,1158 Broadway,Seattle,98122,King,47.61280703,-122.3205273,2015,0,1,https://untappd.com/OptimismBrewing,43,61.7,115.79,143.2,115.1,111.5,142.86,116.1,120.0,135.35,,236.98,89.7,1388.28
Otherlands Beer,taproom,2121 Humboldt St,Bellingham,98225,Whatcom,48.75847585,-122.4681985,2021,0,0,https://untappd.com/OtherlandsBeer,42,,42.13,,33.12,,,98.33,,58.48,,86.31,,318.37
Outer Planet Craft Brewing,brewpub,1812 12th Avenue Suite 100,Seattle,98122,King,47.61783778,-122.3167738,2015,1,0,https://untappd.com/OuterPlanetBrewing,43,4.31,,10.42,4.39,5.4,6.58,6.64,5.59,5.53,6.43,4.98,4.84,65.10999999999999
Outlander Brewery and Pub,brewpub,225 N 36th St,Seattle,98103,King,47.652371,-122.355414,2012,0,0,https://untappd.com/OutlanderBrewing,43,14.0,7.32,,10.0,,19.0,21.15,6.88,4.0,3.5,,14.5,100.35
Paper Street Brewing Company,taproom,241 Fanning Rd,Pasco,99301,Franklin,46.309907,-119.214113,2016,0,0,https://untappd.com/PaperStreetBrewingCo,15,,15.0,,,10.3,,,24.0,,,26.0,29.0,104.3
Paradise Creek Brewery,taproom,245 SE Paradise St,Pullman,99163,Whitman,46.72873725,-117.1803011,2010,1,0,https://untappd.com/paradisecreek,9,47.38,49.02,43.02,128.27,69.75,70.97,88.99,75.59,52.06,46.37,46.33,35.69,753.44
Paramour Brewing Company,brewpub,6520 S Waneta Rd,Spokane,99223,Spokane,47.59421849,-117.3564973,2021,0,0,https://untappd.com/w/paramour-brewing/457368,9,3.0,,,,3.0,4.0,6.0,6.0,6.0,10.0,,9.0,47.0
Pastime Brewery,taproom,1307 Main St,Oroville,98844,Okanogan,48.93758103,-119.4363202,2020,0,0,https://untappd.com/w/past-time-brewing/107617,7,3.85,5.04,5.74,8.58,9.14,8.23,9.14,8.0,6.4,8.37,5.27,8.82,86.58
Peace of Mind Brewing,micro,18411 Hwy 99,Lynnwood,98037,Snohomish,47.83174875,-122.3058165,2022,1,0,https://untappd.com/Peace_Of_Mind_Brewing,32,,,,0.5,,,5.0,,,,31.0,,36.5
Peddler Brewing Company,brewpub,1514 NW Leary Way,Seattle,98107,King,47.66387586,-122.3771003,2013,0,0,https://untappd.com/PeddlerBrewing,36,15.52,7.5,-7.9,,,,,,,,,,15.12
Penn Cove Brewing Company,micro,103 S Main St,Coupeville,98239,Island,48.2109786,-122.685896,2015,0,1,https://untappd.com/PennCoveBrewingCo,10,26.16,29.34,51.36,33.02,46.669999999999995,57.59,142.57,112.0,99.79,46.66,39.63,21.59,706.3799999999999
Perfect Circle Brewing,brewpub,713 6th Street,Prosser,99350,Benton,46.20462657,-119.7691094,2021,0,0,https://untappd.com/PerfectCircleBrewing,16,,5.83,,1.5,2.5,,4.5,8.5,3.0,,6.5,,32.33
Perihelion Brewery,brewpub,2800 16th Ave S,Seattle,98144,King,47.578506,-122.311929,2016,1,0,https://untappd.com/Perihelion-Brewery,37,19.71,33.93,12.64,5.9,60.63,31.79,19.74,26.58,38.27,27.89,34.63,20.61,332.31999999999994
Perry Street Brewing,micro,1025 S Perry St,Spokane,99202,Spokane,47.64604873,-117.3898042,2014,1,0,https://untappd.com/w/perry-street-brewing/115199,3,53.0,42.5,42.5,29.0,37.25,64.0,35.5,46.0,42.0,45.5,29.5,57.0,523.75
Pike Brewing Company,micro,1415 1st Ave,Seattle,98101,King,47.608001,-122.3394073,1989,1,0,https://untappd.com/pikebrewing,43,264.72,222.27,300.07,307.71,301.03,527.75,349.19,375.46,468.11,508.14,420.38,367.06,4411.89
Pint Size Brewing,nano,7410B Greenwood Ave N,Seattle,98103,King,47.6829051,-122.3549746,2019,0,1,https://untappd.com/PintSizeBrewing,36,2.34,3.06,3.52,2.33,3.63,2.3,0.63,2.51,2.67,2.67,,,25.659999999999997
Port Townsend Brewing Company,micro,330 10th St Suite C,Port Townsend,98368,Jefferson,48.1074022,-122.7809758,2001,0,0,https://untappd.com/porttownsendbrewing,24,45.0,60.0,,,150.0,,375.0,,150.0,,90.0,,870.0
Postdoc Brewing,taproom,17625 NE 65th St #100,Redmond,98052,King,47.66392308,-122.1050753,2014,1,0,https://untappd.com/PostdocBrewingCompany,48,83.6,89.69,126.04,114.98,98.6,153.98,151.09,156.95,104.12,119.67,81.22,104.77,1384.71
Potlatch Brewing Company,brewpub,24180 US-101,Hoodsport,98548,Mason,47.40491678,-123.141186,2021,0,0,https://untappd.com/w/potlatch-brewing/500440,35,3.66,8.44,,6.1,27.42,,27.32,13.5,15.93,9.36,10.22,,121.95
Powerhouse Restaurant and Brewery,nano,454 E Main,Puyallup,98372,Pierce,47.19158631,-122.2879828,2005,1,0,https://untappd.com/PowerhouseRestaurantBrewery,25,13.0,26.0,13.0,,78.0,13.0,26.0,19.5,26.0,6.5,13.0,19.5,253.5
Precious Things Fermentation Project,taproom,8403 N Bruce Rd,Spokane,99217,Spokane,47.73390559,-117.2865852,2018,1,0,https://untappd.com/Preciousthingsbeer,4,2.5,1.5,0.5,2.0,2.0,,3.25,2.0,1.0,1.5,1.33,0.5,18.08
Propolis Brewing,taproom,2457 Jefferson St,Port Townsend,98368,Jefferson,48.1086174,-122.773463,2013,0,0,https://untappd.com/PropolisBrewing,24,3.48,20.16,-1.34,28.72,11.98,23.64,13.54,26.4,12.07,17.36,9.86,16.11,181.97999999999996
Quartzite Brewing Company,taproom,105 W Main St,Chewelah,99109,Stevens,48.27595137,-117.7169469,2016,1,0,https://untappd.com/QuartziteBrewingCompany,7,2.34,,,5.83,7.83,8.33,9.25,9.17,9.0,8.08,6.92,6.75,73.5
Quirk Brewing,taproom,425 B St,Walla Walla,99362,Walla Walla,46.0901597,-118.27695,2016,0,0,https://untappd.com/QuirkBrewing,16,20.42,32.78,23.76,42.64,37.57,31.83,24.0,26.83,36.71,22.33,29.0,23.75,351.61999999999995
Rail Hop'n Brewing Company,brewpub,122 West Main Street Suite 101 B,Auburn,98001,King,47.3071471,-122.2315213,2017,0,0,https://untappd.com/RailHopnBrewingCompany,47,9.0,9.0,9.0,,13.5,9.0,,13.5,,,9.0,9.0,81.0
Railside Brewing,micro,309 NE 76th St,Vancouver,98665,Clark,45.6768255,-122.66818,2012,0,0,https://untappd.com/RailSideBrewing,49,,21.0,,19.0,14.0,,24.0,,15.6,,17.55,,111.15
Rainy Daze Brewing,brewpub,650 NW Bovela Ln #3,Poulsbo,98370,Kitsap,47.73971613,-122.6578393,2012,0,0,https://untappd.com/RainyDazeBrewing,23,44.5,81.33,104.83,96.25,99.25,115.17,97.17,112.5,93.33,94.0,77.0,80.0,1095.33
RAM Restaurant and Brewery,brewpub,10019 59th Ave Sw,Lakewood,98499,Pierce,47.16646601,-122.5154303,1971,1,0,https://untappd.com/theRAM,28,274.4,200.1,284.05,311.7,245.95,249.05,257.0,169.65,207.9,317.25,254.45,221.6,2993.1000000000004
Rattlesnake Mountain Brewing Company,taproom,2696 N Columbia Center Blvd,Richland,99352,Benton,46.237587,-119.221937,1999,0,0,https://untappd.com/w/rattlesnake-mountain-brewing-company/15572,8,28.07,27.19,31.99,30.87,29.58,33.88,39.34,30.72,34.43,30.09,25.17,25.23,366.56
Ravenna Brewing Company,taproom,5408 26th Ave Ne,Seattle,98105,King,47.66814202,-122.2994354,2015,0,0,https://untappd.com/RavennaBrewingCo,43,159.3,,264.23,,279.05,,356.44,,286.65,,250.37,,1596.04
Redhook Brewlab,brewpub,714 E Pike St,Seattle,98122,King,47.61413993,-122.3230889,1982,0,0,https://untappd.com/Redhook,43,12.67,,,,,14.67,50.33,,9.67,,,,87.34
Remlinger Farm Brewery,brewpub,32610 NE 32nd St,Carnation,98014,King,47.63908563,-121.9021766,2021,1,0,https://untappd.com/w/remlinger-brewing/521350,12,,,,,6.22,7.37,,40.0,7.37,,17.0,6.17,84.13
Republic Brewing Company,brewpub,26 N Clark Ave,Republic,99166,Ferry,48.64801538,-118.737951,2011,1,0,https://untappd.com/RepublicBrewingCompany,7,22.6,26.83,24.38,35.09,34.86,37.92,43.27,38.58,35.34,41.01,21.11,20.18,381.1700000000001
Resonate Brewery and Pizzeria,regional,5606 119th Ave Se,Bellevue,98006,King,47.5521229,-122.1776163,2015,1,0,https://untappd.com/ResonateBrewery,41,,39.35,,69.9,,48.95,,58.55,24.85,,59.25,29.45,330.3
Reuben's Brews,regional,5010 14th Ave Nw,Seattle,98107,King,47.66540226,-122.3733006,2012,1,0,https://untappd.com/ReubensBrews,36,1705.85,1676.63,1933.15,2070.59,2077.57,2519.17,2303.8700000000003,2617.09,2433.18,1740.98,1709.3300000000002,1592.8,24380.210000000003
Ridgefield Craft Brewing Company,micro,120 N 3rd Ave,Ridgefield,98642,Clark,45.81593797,-122.7448428,2021,0,0,https://untappd.com/RidgefieldCraftBrewingCo,20,19.88,34.42,26.17,22.24,,94.73,29.36,48.92,30.23,,49.73,13.42,369.1
Ridgeline Brewing Company,nano,941 N Callow Ave,Bremerton,98312,Kitsap,47.5709387,-122.6539669,2017,0,0,https://untappd.com/RidgelineBrewing,26,,,,,,,,,16.0,7.0,10.0,1.0,34.0
River City Brewing,taproom,121 S Cedar St,Spokane,99201,Spokane,47.65601288,-117.4322061,2012,0,1,https://untappd.com/RiverCityBrewing,3,25.52,,115.44,41.0,30.57,54.18,38.84,27.7,28.47,16.22,16.41,20.82,415.1700000000001
River Mile 38 Brewing Company,brewpub,285 Third Street,Cathlamet,98612,Wahkiakum,46.20545555,-123.3855916,2014,0,0,https://untappd.com/Rivermile,19,10.23,15.11,14.18,10.57,13.43,13.35,26.42,16.18,14.77,13.75,11.17,8.34,167.5
River Time Brewing,taproom,660 Emens Ave,Darrington,98241,Snohomish,48.24905292,-121.6020432,2014,1,0,https://untappd.com/River_Time_Brewing,39,22.67,,,,35.03,,,26.3,,,24.17,,108.17
Riverport Brewing Company,micro,150 9th St,Clarkston,99403,Asotin,46.42640142,-117.0521262,2008,0,0,https://untappd.com/RiverportBrewingCompany,9,21.65,27.53,28.68,26.3,26.8,31.8,33.21,38.75,36.97,27.5,24.96,23.31,347.46000000000004
Rocky Coulee Brewing,micro,205 N First St,Odessa,99159,Lincoln,47.3358965,-118.68838,2007,0,0,https://untappd.com/w/rocky-coulee-brewing-company/6856,9,3.98,2.74,2.35,10.64,4.25,4.0,1.23,3.06,8.92,4.96,3.39,1.25,50.77
Rooftop Brewing Company,taproom,1220 W Nickerson St,Seattle,98119,King,47.65543327,-122.3725435,2013,1,0,https://untappd.com/RooftopBrewCo,36,50.97,67.29,82.42,96.54,,204.31,82.06,100.63,97.86,65.75,,69.14,916.97
Rose Garage Brewing and Taps,taproom,613 S Whitman Ave,Rosalia,99170,Whitman,47.23413,-117.37,2020,0,0,https://untappd.com/w/rose-garage/475853,9,4.0,2.0,,4.0,,4.0,2.0,1.0,,4.0,2.0,,23.0
Roslyn Brewing Company,brewpub,208 Pennsylvania Ave Box 24,Roslyn,98941,Kittitas,47.2220541,-120.9949,1990,0,0,https://untappd.com/w/roslyn-brewing-company/8120,13,,19.56,,20.66,,40.69,,51.01,18.83,,14.52,14.73,180.0
SAAL Brewing Company,brewpub,10209 270th St Nw,Stanwood,98292,Snohomish,48.24167216,-122.3708879,2019,1,0,https://untappd.com/SAALBrewingCompany,10,,5.96,3.41,2.14,3.41,5.34,4.26,,9.54,4.85,4.85,5.28,49.04
