county,corona_cases
Whatcom,48335
Skagit,27952
San Juan,1923
Island,13362
Clallam,15469
Snohomish,199656
Okanogan,10343
Ferry,1972
Stevens,9846
Pend Oreille,2921
Chelan,23810
Douglas,13113
Kitsap,51235
Jefferson,4657
Grays Harbor,20118
Mason,15474
Pierce,238913
Kittitas,10196
Grant,31959
Lincoln,2631
Spokane,150455
Whitman,9941
Adams,5670
King,537124
Thurston,61542
Pacific,4765
Lewis,20489
Yakima,82272
Benton,61017
Franklin,36431
Wahkiakum,632
Cowlitz,26932
Skamania,1775
Clark,109868
Klickitat,4258
Walla Walla,18541
Columbia,730
Garfield,490
Asotin,5443